id,index,bare soil,cloud cirrus,cloud high prob,cloud low prob,cloud med prob,cloud shadow,darkfeat,defect,vegetation,water,sum,cloud,cloudpercent
35,2016-09-26,12914.0,,63202.0,38932.0,10649.0,7531693.0,12296.0,73770.0,2352909.0,314803.0,10411168.0,112783.0,1.08328863774
36,2016-09-29,15000.0,6.0,177.0,11911.0,5888.0,2821873.0,2209.0,28505.0,955273.0,48335.0,3889177.0,17982.0,0.462360031441
37,2016-10-09,7686.0,13582.0,89713.0,767591.0,1735198.0,2497609.0,903790.0,322581.0,679072.0,837113.0,7853935.0,2606084.0,33.1818890785
38,2016-10-18,13454.0,5.0,,22103.0,12938.0,2419831.0,44402.0,97419.0,1097834.0,181170.0,3889156.0,35046.0,0.901120963006
39,2016-10-28,27.0,,,912586.0,2669920.0,33932.0,7849.0,12775.0,6114.0,245997.0,3889200.0,3582506.0,92.11421372
40,2016-11-09,13287.0,9082.0,259.0,360909.0,2388013.0,185365.0,323084.0,150261.0,29463.0,429462.0,3889185.0,2758263.0,70.921362702
41,2016-11-15,71.0,,33882.0,1710472.0,5153081.0,13418.0,60387.0,72298.0,81.0,617382.0,7661072.0,6897435.0,90.0322435294
42,2016-11-18,2674.0,25985.0,1302.0,1056353.0,5231326.0,299298.0,287279.0,138827.0,29182.0,781773.0,7853999.0,6314966.0,80.4044665654
43,2016-11-28,44688.0,94.0,59565.0,427543.0,362331.0,2314141.0,1758435.0,1102082.0,191220.0,1593713.0,7853812.0,849533.0,10.8168237284
44,2016-12-06,,,,16076.0,3872358.0,,,79.0,,687.0,3889200.0,3888434.0,99.9803044328
45,2016-12-08,12278.0,85.0,533679.0,1199133.0,165588.0,762938.0,81308.0,588112.0,46452.0,499610.0,3889183.0,1898485.0,48.8144939438
