Step,clouds01_test2016clouds01_oa,clouds10_test2016clouds10_oa,clouds25_test2016clouds25_oa,clouds50_test2016clouds50_oa,clouds80_test2016_oa,cloudsall_test2016clouds01_oa,cloudsall_test2016clouds10_oa,cloudsall_test2016clouds25_oa,cloudsall_test2016clouds50_oa,cloudsall_test2016_oa,clouds01_test2016clouds01_xe,clouds10_test2016clouds10_xe,clouds25_test2016clouds25_xe,clouds50_test2016clouds50_xe,clouds80_test2016_xe,cloudsall_test2016clouds01_xe,cloudsall_test2016clouds10_xe,cloudsall_test2016clouds25_xe,cloudsall_test2016clouds50_xe,cloudsall_test2016_xe
53312,0.827024161816,0.821051200231,0.82339433829,0.84493547678,0.774465203285,0.740771353245,0.770117044449,0.790001233419,0.747559030851,0.709087749322,0.835592726866,0.902878046036,0.874561627706,0.773325026035,1.06199326118,1.18922042847,1.12852350871,1.08188062906,1.17903780937,1.38070376714
57408,0.845879356066,0.836880167325,0.845190922419,0.827042639256,0.774351040522,0.753967662652,0.755023479462,0.805336793264,0.771189232667,0.724857827028,0.76009396712,0.820785860221,0.794305940469,0.771223664284,1.03828901052,1.12225506703,1.13438681761,1.03713232279,1.089732488,1.27976731459
61504,0.855589866638,0.857863008976,0.837112247944,0.826921919982,0.756249566873,0.773632844289,0.74139247338,0.781848708789,0.775626818339,0.706198851267,0.755862911542,0.720256090164,0.796325385571,0.771200795968,1.03591557344,1.0353697141,1.13659556707,1.0854571263,1.06987114747,1.28012935321
65600,0.844959994157,0.872098366419,0.842780629794,0.828675508499,0.752359191577,0.795262992382,0.755806028843,0.784852206707,0.78268879652,0.697522977988,0.773501594861,0.672665337722,0.745086371899,0.75740925471,1.03752998511,0.962170918783,1.06996774673,1.04940859477,1.03760323922,1.30427066485
69696,0.814381400744,0.871742685636,0.849912325541,0.852281033993,0.782444417477,0.759614606698,0.765909612179,0.818952163061,0.797886272271,0.698703686396,0.822636226813,0.638398786386,0.684409618378,0.691731055578,0.945434451103,1.00859373808,1.01718141635,0.933632949988,0.980148255825,1.27644252777
73792,0.821023523808,0.869037469228,0.874381283919,0.878954927127,0.792420685291,0.760565618674,0.786986351013,0.816249370575,0.777378201485,0.727299173673,0.770538191001,0.619910220305,0.579008678595,0.634317119916,0.917227089405,0.965246737003,0.958474596341,0.884069999059,0.989697158337,1.17820135752
77888,0.831589102745,0.858789841334,0.88013980786,0.85798629125,0.805448989073,0.770182092985,0.811347226302,0.810744762421,0.794387996197,0.75206053257,0.738622665405,0.616404970487,0.566195766131,0.669090092182,0.877866268158,0.935610274474,0.882933278879,0.877760926882,0.938681205114,1.08678865433
81984,0.858947277069,0.881006757418,0.858383834362,0.839940130711,0.797362923622,0.796662628651,0.821750938892,0.830089469751,0.790088315805,0.782826642195,0.681057473024,0.576140860717,0.629505515099,0.721364875635,0.886482477188,0.866519530614,0.850097060204,0.785812775294,0.89300574859,0.962608595689
86080,0.842960039775,0.869202792645,0.847950518131,0.830354511738,0.776104470094,0.791086037954,0.810790379842,0.848169724147,0.80656282107,0.778189738592,0.705166220665,0.605403502782,0.644620796045,0.71541684866,0.92629279693,0.889668424924,0.845010240873,0.746617376804,0.845704297225,0.968942741553
90176,0.827030956745,0.886597534021,0.845875144005,0.846267700195,0.774184604486,0.787138561408,0.805732111136,0.832441826661,0.786479194959,0.742072482904,0.722369849682,0.54470255971,0.621772110462,0.680036942164,0.915278712908,0.898261785507,0.819800635179,0.766949097315,0.868137081464,1.03245558341
94272,0.832679033279,0.872744898001,0.851449032625,0.865134795507,0.772981762886,0.770493169626,0.797127366066,0.816101451715,0.78033276399,0.754084865252,0.683134675026,0.560669769843,0.602002600829,0.609599332015,0.897256096204,0.948260307312,0.844464838505,0.814726114273,0.888852953911,1.02430351575
98368,0.855435907841,0.881459116936,0.86319899559,0.873353699843,0.797824819883,0.792305648327,0.804558555285,0.827288190524,0.798222005367,0.802933732669,0.641737004121,0.527047604322,0.59031377236,0.570222973824,0.829442302386,0.870304981867,0.814545353254,0.770934760571,0.834437568982,0.901887913545
102464,0.853860596816,0.852044463158,0.872585713863,0.871694266796,0.784711102645,0.808859705925,0.791940848033,0.844858109951,0.821934799353,0.836534043153,0.636216123899,0.598487774531,0.566742449999,0.563357790311,0.850113590558,0.806660791238,0.877933601538,0.7092354695,0.792330602805,0.782737890879
106560,0.867252707481,0.853747646014,0.888486027718,0.891100128492,0.785680512587,0.828430791696,0.813318709532,0.849388678869,0.828431844711,0.824976503849,0.588268021743,0.58034580946,0.520660787821,0.496147483587,0.827484548092,0.750549713771,0.793702681859,0.672846933206,0.788965245088,0.779671033223
110656,0.862661341826,0.842439929644,0.904207428296,0.892293790976,0.787941257159,0.816017369429,0.833821455638,0.859452386697,0.833649933338,0.793990115325,0.560183942318,0.600305497646,0.467056393623,0.489994277557,0.785456856092,0.808449089527,0.737361888091,0.649066269398,0.766488651435,0.830804387728
114752,0.886099835237,0.866864899794,0.882855693499,0.898508369923,0.806939979394,0.816038767497,0.864086449146,0.859264949958,0.835560043653,0.798954208692,0.47820820411,0.535383492708,0.51504428188,0.440853774548,0.743967970212,0.797388494015,0.618886450926,0.647990306218,0.732966681321,0.83080492417
118848,0.873755415281,0.867615401745,0.885297675927,0.8788082997,0.819787025452,0.820292770863,0.864745338758,0.865062693755,0.842060029507,0.815812746684,0.506613214811,0.530477931102,0.51309171319,0.495345443487,0.743909398715,0.782743910948,0.616408526897,0.642330487569,0.718769093355,0.793339411418
122944,0.86730692784,0.89810436964,0.877995371819,0.875479837259,0.813903927803,0.819523493449,0.859573304653,0.85212957859,0.83853161335,0.833076675733,0.522077620029,0.459873030583,0.535028010607,0.49258946379,0.779025236766,0.764469524225,0.6424391071,0.659798900286,0.704484124978,0.733601033688
127040,0.871474603812,0.893421252569,0.896671831608,0.881461838881,0.824453830719,0.820958038171,0.845476786296,0.86543816328,0.85145286719,0.848564664523,0.510792503754,0.474954475959,0.485477288564,0.488333940506,0.729024291039,0.754371841749,0.665374338627,0.608170588811,0.638808051745,0.670889556408
131136,0.878437101841,0.878105640411,0.890254457792,0.872685531775,0.827406366666,0.838853259881,0.859498560429,0.840649783611,0.867318451405,0.84217407306,0.498941808939,0.512517879407,0.491253256798,0.517182370027,0.693586150805,0.700866341591,0.608117004236,0.651590148608,0.572198867798,0.691064814727
