Step,clouds01_test2016clouds01_oa,clouds10_test2016clouds10_oa,clouds25_test2016clouds25_oa,clouds50_test2016clouds50_oa,clouds80_test2016_oa,cloudsall_test2016clouds01_oa,cloudsall_test2016clouds10_oa,cloudsall_test2016clouds25_oa,cloudsall_test2016clouds50_oa,cloudsall_test2016_oa,clouds01_test2016clouds01_xe,clouds10_test2016clouds10_xe,clouds25_test2016clouds25_xe,clouds50_test2016clouds50_xe,clouds80_test2016_xe,cloudsall_test2016clouds01_xe,cloudsall_test2016clouds10_xe,cloudsall_test2016clouds25_xe,cloudsall_test2016clouds50_xe,cloudsall_test2016_xe
8,,,,,,,,,,,,,,,,,,,,
64,,,,,,,,,,,,,,,,,,,,
4160,,,,,,,,,,,,,,,,,,,,
8256,,,,,,,,,,,,,,,,,,,,
12352,,,,,,,,,,,,,,,,,,,,
14016,,,,,,,,,,,,,,,,,,,,
16448,,,,,,,,,,,,,,,,,,,,
20544,,,,,,,,,,,,,,,,,,,,
24640,,,,,,,,,,,,,,,,,,,,
28736,,,,,,,,,,,,,,,,,,,,
32832,,,,,,,,,,,,,,,,,,,,
36928,,,,,,,,,,,,,,,,,,,,
41024,,,,,,,,,,,,,,,,,,,,
45120,,,,,,,,,,,,,,,,,,,,
49216,,,,,,,,,,,,,,,,,,,,
53312,,,,,0.606976791223,,,,,,,,,,1.64326299429,,,,,
57408,,,,,0.652222607533,,,,,,,,,,1.51927605073,,,,,
61504,,,,,0.674482929707,,,,,,,,,,1.43671460549,,,,,
65600,,,,,0.695819807053,,,,,,,,,,1.36303219398,,,,,
69696,,,,,0.717518202464,,,,,,,,,,1.28467430671,,,,,
73792,0.80851085186,0.826873107751,0.813944494724,0.821269098918,0.730813090007,0.740885730584,0.734808584054,0.744806257884,0.723718221982,0.669974553585,0.957801640034,0.921859717369,0.94249420166,0.92604338328,1.22127016385,1.24548774958,1.24404351711,1.24675914844,1.29160298109,1.48022259076
77888,0.819951899846,0.83206782341,0.828646365801,0.828594263395,0.743188273907,0.752253858248,0.751432681084,0.755278348923,0.739234725634,0.685378273328,0.906767674287,0.870389501254,0.873808324337,0.876902266343,1.16448233525,1.17871809403,1.17440645297,1.19196269115,1.22955812216,1.42209409078
81984,0.827025727431,0.84092750152,0.833111723264,0.832215627035,0.756422734261,0.755421833197,0.761921159426,0.764430586497,0.749519252777,0.698829909166,0.863630433877,0.820431419214,0.83245186011,0.839380784829,1.106414481,1.12995696863,1.12298748096,1.12742534479,1.17055052916,1.35355534156
86080,0.827468073368,0.843445865313,0.837591056029,0.837099901835,0.760675676664,0.764434750875,0.767246381442,0.776432232062,0.754702436924,0.70634816885,0.83138055404,0.783146985372,0.788718593121,0.796898980935,1.07660911481,1.08514947494,1.07960616748,1.07572564284,1.13347187042,1.30882653793
90176,0.828985118866,0.851197723548,0.844151155154,0.843976732095,0.765005318324,0.765152343114,0.777165842056,0.782972168922,0.756835440795,0.711671765645,0.805303398768,0.739355880022,0.748914233843,0.760069358349,1.04231024981,1.06399310827,1.03567913373,1.03482509057,1.0940102458,1.27423048417
94272,0.833143488566,0.856536257267,0.845552178224,0.848244504134,0.773000307878,0.765299411615,0.785863324006,0.795876737436,0.767199905713,0.730958616734,0.775815920035,0.704497522116,0.726748406887,0.727576907476,0.99966745774,1.03848076661,0.994948720932,0.97782304287,1.04461101691,1.20817414522
98368,0.836611600717,0.858815844854,0.848324553172,0.849394492308,0.780329891046,0.775847204526,0.785201609135,0.804374225934,0.777274982135,0.740761482716,0.756063147386,0.680338424444,0.699437367916,0.703312571843,0.959923279285,0.986680225531,0.972462415695,0.934552824497,0.998574781418,1.15637331009
